Rank,Movie Title,Year of Release,Run Time (minutes),Rating,Star Rating,Metascore,Number of Votes,Gross Revenue in millions (USD)
363,Casino Royale,2006,144,PG-13,8.0,80,678573,167.45
364,Dances with Wolves,1990,181,PG-13,8.0,72,281366,184.21
365,Perfect Blue,1997,81,R,8.0,67,87546,0.78
366,Aladdin,1992,90,G,8.0,86,447670,217.35
367,Young Frankenstein,1974,106,PG,8.0,83,164701,86.3
368,Rosemary's Baby,1968,137,Approved,8.0,96,226877,
369,Kill Bill: Vol. 2,2004,137,R,8.0,83,784153,66.21
370,Soul,2020,100,PG,8.0,83,356356,
371,The Graduate,1967,106,PG,8.0,83,283181,104.95
372,Groundhog Day,1993,101,PG,8.0,72,661559,70.91
373,12 Monkeys,1995,129,R,8.0,74,634796,57.14
374,Rain Man,1988,133,R,8.0,65,533354,178.8
375,Magnolia,1999,188,R,8.0,78,322386,22.46
376,Scent of a Woman,1992,156,R,8.0,59,316887,63.9
377,Dog Day Afternoon,1975,125,R,8.0,86,267485,50.0
378,Big Fish,2003,125,PG-13,8.0,58,451448,66.26
379,Beauty and the Beast,1991,84,G,8.0,95,469774,218.97
380,JFK,1991,189,R,8.0,72,165028,70.41
381,Planet of the Apes,1968,112,G,8.0,79,187544,33.4
382,Lion,2016,118,PG-13,8.0,69,245140,51.74
383,The Invisible Guest,2016,106,TV-MA,8.0,,186199,
384,The Pursuit of Happyness,2006,117,PG-13,8.0,64,541590,163.57
385,Chungking Express,1994,102,PG-13,8.0,78,90505,0.6
386,The King's Speech,2010,118,R,8.0,88,697002,138.8
387,Dogville,2003,178,R,8.0,61,154880,1.53
388,Slumdog Millionaire,2008,120,R,8.0,84,864785,141.32
389,Akira,1988,124,R,8.0,67,197362,0.55
390,Do the Right Thing,1989,120,R,8.0,93,108619,27.55
391,The Bourne Ultimatum,2007,115,PG-13,8.0,85,648995,227.47
392,Annie Hall,1977,93,PG,8.0,92,272652,39.2
393,The Hustler,1961,134,Not Rated,8.0,90,85063,8.28
394,Butch Cassidy and the Sundance Kid,1969,110,PG,8.0,66,222797,102.31
395,Sling Blade,1996,135,R,8.0,84,96945,24.48
396,The Last Picture Show,1971,118,R,8.0,93,50799,29.13
397,Life of Brian,1979,94,R,8.0,77,414073,20.05
398,8½,1963,138,Not Rated,8.0,93,122485,0.05
399,Papillon,1973,151,R,8.0,58,135588,53.27
400,Ip Man,2008,106,R,8.0,59,230342,
401,Roman Holiday,1953,118,Passed,8.0,78,144195,
402,The Night of the Hunter,1955,92,Not Rated,8.0,97,94017,0.65
403,What Ever Happened to Baby Jane?,1962,134,Passed,8.0,75,59677,4.05
404,Solaris,1972,167,PG,8.0,93,95681,
